iso,population,
ad,77265,
ae,9890402,
af,38928346,
al,2877797,
am,2963243,
an,304759,2010년 기준
ao,32866271,
ar,45195774,
at,9006398,
au,25499884,
az,10139177,
ba,3280819,
bd,164689383,
be,11589623,
bf,20903273,
bg,6948445,
bh,1701575,
bj,12123200,
bn,437479,
bo,11673021,
br,212559417,
bt,771608,
bw,2351627,
by,9449323,
bz,397628,
ca,37742154,
cd,89561403,
cf,4829767,
ch,8654622,
ci,26378274,
cl,19116201,
cm,26545863,
cn,1439323776,
co,50882891,
cr,5094118,
cv,555987,
cy,1207359,
cz,10708981,
de,83783942,
dk,5792202,
do,10847910,
dz,43851044,
ec,17643054,
ee,1326535,
eg,102334404,
es,46754778,
et,114963588,
fi,5540720,
fj,896445,
fr,65273511,
ga,2225734,
gb,67886011,
ge,3989167,
gh,31072940,
gm,2416668,
gn,13132795,
gq,1402985,
gr,10423054,
gt,17915568,
gu,168775,
hk,7496981,
hn,9904607,
hr,4105267,
ht,11402528,
hu,9660351,
id,273523615,
ie,4937786,
il,8655535,
in,1380004385,
iq,40222493,
ir,83992949,
is,341243,
it,60461826,
jm,2961167,
jo,10203134,
jp,126476461,
ke,53771296,
kg,6524195,
kh,16718965,
kw,4270571,
ky,65722,
kz,18776707,
la,7275560,
lb,6825445,
li,38128,
lk,21413249,
lr,5057681,
ls,2142249,
lt,2722289,
lu,625978,
lv,1886198,
ly,6871292,
ma,36910560,
mc,39242,
md,4033963,
me,628066,
mg,27691018,
mk,2083373,
ml,20250833,
mm,54409800,
mn,3278290,
mo,649335,
mp,57559,
mr,4649658,
mt,441543,
mu,1271768,
mv,540544,
mw,19129952,
mx,128932753,
my,32365999,
mz,31255435,
n/a,0,nan 항목
na,2540905,
ne,24206644,
ng,206139589,
ni,6624554,
nl,17134872,
no,5421241,
np,29136808,
nz,4822233,
om,5106626,
pa,4314767,
pe,32971854,
pf,280908,
pg,8947024,
ph,109581078,
pk,220892340,
pl,37846611,
pr,2860853,
ps,5101414,
pt,10196709,
py,7132538,
qa,2881053,
re,895312,
ro,19237691,
rs,8737371,
ru,145934462,
rw,12952218,
sa,34813871,
sc,98347,
sd,43849260,
se,10099265,
sg,5850342,
si,2078938,
sk,5459642,
sl,7976983,
sr,586632,
sv,6486205,
tc,38717,
td,16425864,
tg,8278724,
th,69799978,
tk,1357,
tl,1318445,
tm,6031200,
tn,11818619,
to,105695,
tp,1324094,동티모르 2018
tr,84339067,
tt,1399488,
tw,23816775,
tz,59734218,
ua,43733762,
ug,45741007,
us,331002651,
uy,3473730,
uz,33469203,
vn,97338579,
vu,307145,
ws,198414,
ye,29825964,
za,59308690,
zm,18383955,
zw,14862924,
